Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
114,12.27,cascade,both,0.9,0.4,80,"2h(0.4%,L2,B1,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.4%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",32,37.5,-90.30,-2.82,94.4,0.72,-0.15,9.70
115,12.26,cascade,both,0.9,0.4,80,"2h(0.4%,L1,B1,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.4%, lookback=1, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",24,37.5,-86.68,-3.61,92.4,0.71,-0.15,13.32
116,12.25,cascade,both,0.9,0.4,80,"2h(0.1%,L4,B3,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=4, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,36.4,-61.48,-5.59,88.2,0.75,-0.13,38.52
117,12.25,cascade,both,0.9,0.4,80,"2h(0.2%,L4,B3,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.2%, lookback=4, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,36.4,-61.48,-5.59,88.2,0.75,-0.13,38.52
118,12.25,cascade,both,0.9,0.4,80,"2h(0.3%,L4,B3,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.3%, lookback=4, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,36.4,-61.48,-5.59,88.2,0.75,-0.13,38.52
119,12.25,cascade,both,0.9,0.4,80,"2h(0.4%,L4,B3,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.4%, lookback=4, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,36.4,-61.48,-5.59,88.2,0.75,-0.13,38.52
120,12.25,cascade,both,0.9,0.4,80,"2h(0.5%,L4,B3,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.5%, lookback=4, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,36.4,-61.48,-5.59,88.2,0.75,-0.13,38.52
121,12.25,cascade,both,0.9,0.4,80,"2h(0.6%,L4,B3,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.6%, lookback=4, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,36.4,-61.48,-5.59,88.2,0.75,-0.13,38.52
122,12.05,cascade,both,0.9,0.4,80,"2h(0.2%,L1,B2,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.2%, lookback=1, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",22,36.4,-82.76,-3.76,90.8,0.72,-0.15,17.24
123,12.05,cascade,both,0.9,0.4,80,"2h(0.1%,L3,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=3, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",15,40.0,-64.53,-4.30,89.6,0.61,-0.20,35.47
124,12.05,cascade,both,0.9,0.4,80,"2h(0.2%,L3,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.2%, lookback=3, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",15,40.0,-64.53,-4.30,89.6,0.61,-0.20,35.47
125,11.98,cascade,both,0.9,0.4,80,"2h(0.6%,L3,B3,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.6%, lookback=3, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",14,35.7,-80.37,-5.74,93.7,0.73,-0.14,19.63
126,11.96,cascade,both,0.9,0.4,80,"2h(0.4%,L1,B2,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.4%, lookback=1, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",22,36.4,-86.87,-3.95,92.5,0.70,-0.16,13.13
127,11.52,cascade,both,0.9,0.4,80,"2h(0.6%,L2,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.6%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",12,33.3,-76.21,-6.35,83.9,0.73,-0.15,23.79
128,11.52,cascade,both,0.9,0.4,80,"2h(0.7%,L2,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.7%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",12,33.3,-76.21,-6.35,83.9,0.73,-0.15,23.79
129,11.49,cascade,both,0.9,0.4,80,"2h(0.1%,L2,B2,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=2, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",27,37.0,-89.56,-3.32,94.0,0.61,-0.22,10.44
130,11.49,cascade,both,0.9,0.4,80,"2h(0.7%,L1,B1,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.7%, lookback=1, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",18,33.3,-91.35,-5.08,94.4,0.72,-0.14,8.65
131,11.49,cascade,both,0.9,0.4,80,"2h(0.7%,L1,B2,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.7%, lookback=1, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",18,33.3,-91.35,-5.08,94.4,0.72,-0.14,8.65
132,11.09,cascade,both,0.9,0.4,80,"2h(0.6%,L1,B3,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.6%, lookback=1, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",12,33.3,-84.67,-7.06,87.2,0.66,-0.19,15.33
133,11.03,cascade,both,0.9,0.4,80,"2h(0.2%,L2,B3,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.2%, lookback=2, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",15,33.3,-84.86,-5.66,93.1,0.65,-0.19,15.14
134,10.99,cascade,both,0.9,0.4,80,"2h(0.4%,L1,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.4%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",14,35.7,-80.13,-5.72,89.4,0.58,-0.23,19.87
135,10.68,cascade,both,0.9,0.4,80,"2h(0.7%,L3,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.7%, lookback=3, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",7,28.6,-68.59,-9.80,89.5,0.74,-0.13,31.41
136,10.37,cascade,both,0.9,0.4,80,"2h(0.7%,L4,B3,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.7%, lookback=4, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",12,33.3,-78.15,-6.51,88.4,0.56,-0.25,21.85
137,10.13,cascade,both,0.9,0.4,80,"2h(0.1%,L1,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=1, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",12,33.3,-81.72,-6.81,85.5,0.52,-0.28,18.28
138,10.09,cascade,both,0.9,0.4,80,"2h(0.2%,L2,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.2%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",9,33.3,-67.81,-7.53,85.0,0.51,-0.28,32.19
139,10.04,cascade,both,0.9,0.4,80,"2h(0.7%,L5,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.7%, lookback=5, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",6,33.3,-58.42,-9.74,63.8,0.51,-0.34,41.58
140,9.71,cascade,both,0.9,0.4,80,"2h(0.2%,L1,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.2%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",10,30.0,-73.02,-7.30,85.5,0.56,-0.27,26.98
141,9.64,cascade,both,0.9,0.4,80,"2h(0.3%,L1,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.3%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",12,33.3,-79.95,-6.66,88.5,0.45,-0.36,20.05
142,9.53,cascade,both,0.9,0.4,80,"2h(0.1%,L1,B2,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=1, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",20,30.0,-94.35,-4.72,97.0,0.53,-0.24,5.65
143,8.96,cascade,both,0.9,0.4,80,"2h(0.4%,L3,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.4%, lookback=3, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",14,35.7,-80.16,-5.73,93.7,0.27,-0.46,19.84
144,8.96,cascade,both,0.9,0.4,80,"2h(0.5%,L3,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.5%, lookback=3, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",14,35.7,-80.16,-5.73,93.7,0.27,-0.46,19.84
145,8.95,cascade,both,0.9,0.4,80,"2h(0.1%,L4,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=4, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",12,33.3,-76.73,-6.39,92.7,0.34,-0.44,23.27
