combination_id,take_profit,stop_loss,leverage,trading_mode,max_candles,minimum_timeframes,tf1_interval,tf1_role,tf1_min_swing_pct,tf1_lookback,tf1_min_leg_bars,tf1_weight,tf1_opposite,initial_capital,final_capital,total_return_pct,total_trades,winning_trades,losing_trades,win_rate_pct,total_signals,confirmed_signals,confirmation_rate_pct,execution_rate_pct,signals_per_day,trades_per_day,avg_trade_duration_hours,max_drawdown_pct,sharpe_ratio,profit_factor,avg_win_pct,avg_loss_pct,largest_win_pct,largest_loss_pct,consecutive_wins,consecutive_losses,total_fees,net_profit,roi_annualized_pct,execution_time_ms,error_message
18,0.9,0.4,1,pivot,20160,1,4h,primary,0.01,3,3,1,false,100,92.77538983811604,-7.224610161883958,21,4,16,19.047619047619047,24,24,100,87.5,1.7143707525174858,1.5000744084528002,5.498333333333333,0,0,0.29765293891988437,0.9654429577622704,0.4428988745583116,1.1164577919634517,-0.6707297865038251,0,0,0,-7.224610161883959,-188.3652513064243,29178,
19,0.9,0.4,1,pivot,20160,1,4h,primary,0.02,1,1,1,false,100,90.97767403303126,-9.022325966968737,43,13,29,30.23255813953488,80,80,100,53.75,5.714569175058286,3.0715809315938287,4.902380952380951,0,0,0.5177157930545576,0.9450124565745506,0.4450857897392363,1.1164577919634517,-0.7237163814180929,0,0,0,-9.022325966968737,-235.23659547788915,29244,
17,0.9,0.4,1,pivot,20160,1,4h,primary,0.01,3,2,1,false,100,94.23305299256899,-5.766947007431014,27,8,18,29.629629629629626,34,34,100,79.41176470588235,2.4286918993997717,1.9286670965821717,5.884615384615383,0,0,0.510999548222764,0.9532987200501408,0.45518537599067355,1.1164577919634517,-0.7237163814180929,0,0,0,-5.766947007431014,-150.3600053130483,29597,
24,0.9,0.4,1,pivot,20160,1,4h,primary,0.02,2,3,1,false,100,94.19780254951431,-5.802197450485693,21,5,15,23.809523809523807,25,25,100,84,1.7858028672057142,1.5000744084528002,5.616666666666666,0,0,0.39909072402646717,0.9706997625248274,0.4437130842073188,1.1164577919634517,-0.6707297865038251,0,0,0,-5.802197450485693,-151.27908031029713,30133,
22,0.9,0.4,1,pivot,20160,1,4h,primary,0.02,2,1,1,false,100,90.92083375475734,-9.07916624524266,39,11,27,28.205128205128204,67,67,100,58.2089552238806,4.785951684111314,2.7858524728409146,5.208771929824561,0,0,0.47654251602038566,0.9514040357172142,0.4423929865974805,1.1164577919634517,-0.7237163814180929,0,0,0,-9.07916624524266,-236.71857624383858,30260,
23,0.9,0.4,1,pivot,20160,1,4h,primary,0.02,2,2,1,false,100,93.09098229958266,-6.909017700417337,29,8,20,27.586206896551722,37,37,100,78.37837837837837,2.6429882434644574,2.0715313259586288,5.795238095238095,0,0,0.4673629622541067,0.9577906599394178,0.44856714899663314,1.1164577919634517,-0.7237163814180929,0,0,0,-6.909017700417337,-180.13689683711254,31031,
21,0.9,0.4,1,pivot,20160,1,4h,primary,0.02,1,3,1,false,100,96.27868736543769,-3.72131263456231,23,8,15,34.78260869565217,27,27,100,85.18518518518519,1.9286670965821717,1.6429386378292574,5.260869565217391,0,0,0.6214571279526803,0.9636639179009556,0.45537493185132755,1.1164577919634517,-0.6707297865038251,0,0,0,-3.7213126345623095,-97.02474927952527,31835,
25,0.9,0.4,1,pivot,20160,1,4h,primary,0.02,3,1,1,false,100,91.49346513359723,-8.506534866402774,38,11,26,28.947368421052634,60,60,100,63.33333333333333,4.285926881293714,2.7144203581526862,5.1954954954954955,0,0,0.4928127005827353,0.9514040357172142,0.44507612535738794,1.1164577919634517,-0.7237163814180929,0,0,0,-8.506534866402774,-221.7885175743488,30211,
27,0.9,0.4,1,pivot,20160,1,4h,primary,0.02,3,3,1,false,100,92.77538983811604,-7.224610161883958,21,4,16,19.047619047619047,24,24,100,87.5,1.7143707525174858,1.5000744084528002,5.498333333333333,0,0,0.29765293891988437,0.9654429577622704,0.4428988745583116,1.1164577919634517,-0.6707297865038251,0,0,0,-7.224610161883959,-188.3652513064243,30781,
28,0.9,0.4,1,pivot,20160,1,4h,primary,0.03,1,1,1,false,100,90.97767403303126,-9.022325966968737,43,13,29,30.23255813953488,80,80,100,53.75,5.714569175058286,3.0715809315938287,4.902380952380951,0,0,0.5177157930545576,0.9450124565745506,0.4450857897392363,1.1164577919634517,-0.7237163814180929,0,0,0,-9.022325966968737,-235.23659547788915,30854,
