Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
96,12.85,cascade,both,0.9,0.4,1,"6h(0.1%,L5,B5)","6h: swing=0.1%, lookback=5, minLegBars=5",9,11.1,-3.30,-0.37,3.6,0.20,-0.78,96.70
97,12.85,cascade,both,0.9,0.4,1,"6h(0.2%,L5,B5)","6h: swing=0.2%, lookback=5, minLegBars=5",9,11.1,-3.30,-0.37,3.6,0.20,-0.78,96.70
98,12.85,cascade,both,0.9,0.4,1,"6h(0.3%,L5,B5)","6h: swing=0.3%, lookback=5, minLegBars=5",9,11.1,-3.30,-0.37,3.6,0.20,-0.78,96.70
99,12.85,cascade,both,0.9,0.4,1,"6h(0.4%,L5,B5)","6h: swing=0.4%, lookback=5, minLegBars=5",9,11.1,-3.30,-0.37,3.6,0.20,-0.78,96.70
100,12.85,cascade,both,0.9,0.4,1,"6h(0.5%,L5,B5)","6h: swing=0.5%, lookback=5, minLegBars=5",9,11.1,-3.30,-0.37,3.6,0.20,-0.78,96.70
101,12.85,cascade,both,0.9,0.4,1,"6h(0.6%,L5,B5)","6h: swing=0.6%, lookback=5, minLegBars=5",9,11.1,-3.30,-0.37,3.6,0.20,-0.78,96.70
102,12.85,cascade,both,0.9,0.4,1,"6h(0.7%,L5,B5)","6h: swing=0.7%, lookback=5, minLegBars=5",9,11.1,-3.30,-0.37,3.6,0.20,-0.78,96.70
103,12.48,cascade,both,0.9,0.4,1,"6h(0.7%,L1,B5)","6h: swing=0.7%, lookback=1, minLegBars=5",9,11.1,-3.69,-0.41,4.5,0.17,-0.97,96.31
104,12.31,cascade,both,0.9,0.4,1,"6h(0.6%,L1,B1)","6h: swing=0.6%, lookback=1, minLegBars=1",34,14.7,-11.30,-0.33,11.5,0.25,-0.71,88.70
105,12.20,cascade,both,0.9,0.4,1,"6h(0.5%,L2,B5)","6h: swing=0.5%, lookback=2, minLegBars=5",10,10.0,-4.11,-0.41,5.0,0.18,-0.93,95.89
106,12.20,cascade,both,0.9,0.4,1,"6h(0.6%,L2,B5)","6h: swing=0.6%, lookback=2, minLegBars=5",10,10.0,-4.11,-0.41,5.0,0.18,-0.93,95.89
107,12.20,cascade,both,0.9,0.4,1,"6h(0.7%,L2,B5)","6h: swing=0.7%, lookback=2, minLegBars=5",10,10.0,-4.11,-0.41,5.0,0.18,-0.93,95.89
108,12.02,cascade,both,0.9,0.4,1,"6h(0.1%,L5,B3)","6h: swing=0.1%, lookback=5, minLegBars=3",11,9.1,-4.35,-0.40,4.3,0.16,-0.92,95.65
109,12.02,cascade,both,0.9,0.4,1,"6h(0.2%,L5,B3)","6h: swing=0.2%, lookback=5, minLegBars=3",11,9.1,-4.35,-0.40,4.3,0.16,-0.92,95.65
110,12.02,cascade,both,0.9,0.4,1,"6h(0.3%,L5,B3)","6h: swing=0.3%, lookback=5, minLegBars=3",11,9.1,-4.35,-0.40,4.3,0.16,-0.92,95.65
111,12.02,cascade,both,0.9,0.4,1,"6h(0.4%,L5,B3)","6h: swing=0.4%, lookback=5, minLegBars=3",11,9.1,-4.35,-0.40,4.3,0.16,-0.92,95.65
112,12.02,cascade,both,0.9,0.4,1,"6h(0.5%,L5,B3)","6h: swing=0.5%, lookback=5, minLegBars=3",11,9.1,-4.35,-0.40,4.3,0.16,-0.92,95.65
113,12.02,cascade,both,0.9,0.4,1,"6h(0.6%,L5,B3)","6h: swing=0.6%, lookback=5, minLegBars=3",11,9.1,-4.35,-0.40,4.3,0.16,-0.92,95.65
114,12.02,cascade,both,0.9,0.4,1,"6h(0.7%,L5,B3)","6h: swing=0.7%, lookback=5, minLegBars=3",11,9.1,-4.35,-0.40,4.3,0.16,-0.92,95.65
115,12.00,cascade,both,0.9,0.4,1,"6h(0.5%,L1,B1)","6h: swing=0.5%, lookback=1, minLegBars=1",35,14.3,-12.01,-0.34,12.2,0.24,-0.74,87.99
116,11.80,cascade,both,0.9,0.4,1,"6h(0.1%,L1,B5)","6h: swing=0.1%, lookback=1, minLegBars=5",11,9.1,-4.78,-0.43,4.8,0.14,-1.12,95.22
117,11.80,cascade,both,0.9,0.4,1,"6h(0.2%,L1,B5)","6h: swing=0.2%, lookback=1, minLegBars=5",11,9.1,-4.78,-0.43,4.8,0.14,-1.12,95.22
118,11.05,cascade,both,0.9,0.4,1,"6h(0.7%,L1,B4)","6h: swing=0.7%, lookback=1, minLegBars=4",13,7.7,-5.63,-0.43,6.4,0.12,-1.14,94.37
119,10.91,cascade,both,0.9,0.4,1,"6h(0.6%,L1,B2)","6h: swing=0.6%, lookback=1, minLegBars=2",22,9.1,-8.65,-0.39,9.4,0.15,-1.05,91.35
120,10.78,cascade,both,0.9,0.4,1,"6h(0.1%,L3,B3)","6h: swing=0.1%, lookback=3, minLegBars=3",15,6.7,-6.38,-0.43,6.4,0.11,-1.21,93.62
121,10.78,cascade,both,0.9,0.4,1,"6h(0.2%,L3,B3)","6h: swing=0.2%, lookback=3, minLegBars=3",15,6.7,-6.38,-0.43,6.4,0.11,-1.21,93.62
122,10.78,cascade,both,0.9,0.4,1,"6h(0.3%,L3,B3)","6h: swing=0.3%, lookback=3, minLegBars=3",15,6.7,-6.38,-0.43,6.4,0.11,-1.21,93.62
123,10.78,cascade,both,0.9,0.4,1,"6h(0.4%,L3,B3)","6h: swing=0.4%, lookback=3, minLegBars=3",15,6.7,-6.38,-0.43,6.4,0.11,-1.21,93.62
124,10.78,cascade,both,0.9,0.4,1,"6h(0.5%,L3,B3)","6h: swing=0.5%, lookback=3, minLegBars=3",15,6.7,-6.38,-0.43,6.4,0.11,-1.21,93.62
125,10.78,cascade,both,0.9,0.4,1,"6h(0.6%,L3,B3)","6h: swing=0.6%, lookback=3, minLegBars=3",15,6.7,-6.38,-0.43,6.4,0.11,-1.21,93.62
126,10.78,cascade,both,0.9,0.4,1,"6h(0.7%,L3,B3)","6h: swing=0.7%, lookback=3, minLegBars=3",15,6.7,-6.38,-0.43,6.4,0.11,-1.21,93.62
127,10.60,cascade,both,0.9,0.4,1,"6h(0.5%,L1,B2)","6h: swing=0.5%, lookback=1, minLegBars=2",23,8.7,-9.43,-0.41,10.2,0.13,-1.09,90.57
