Rank,TotalReturn%,WinRate%,TotalTrades,FinalCapital,MaxDrawdown%,AvgTradeReturn%,PivotCount,TimeframeMinutes,Lookback,MinSwingPct,MinLegBars,TakeProfit%,StopLoss%,Leverage,TradeDirection
176,-4.26,0.0,7,95.74,4.26,-0.45,21,60,0,0.4,3,0.9,0.4,1,long
177,-4.26,0.0,7,95.74,4.26,-0.45,21,60,1,0.4,3,0.9,0.4,1,long
178,-4.26,27.8,18,95.74,5.11,-0.05,35,60,2,0.2,2,0.9,0.4,1,short
179,-4.26,0.0,7,95.74,4.26,-0.45,21,15,0,0.4,3,0.9,0.4,1,long
180,-4.26,0.0,7,95.74,4.26,-0.45,21,15,1,0.4,3,0.9,0.4,1,long
181,-4.26,27.8,18,95.74,5.11,-0.05,35,15,2,0.2,2,0.9,0.4,1,short
182,-4.26,0.0,7,95.74,4.26,-0.45,21,5,0,0.4,3,0.9,0.4,1,long
183,-4.26,0.0,7,95.74,4.26,-0.45,21,5,1,0.4,3,0.9,0.4,1,long
184,-4.26,27.8,18,95.74,5.11,-0.05,35,5,2,0.2,2,0.9,0.4,1,short
185,-4.34,33.3,33,95.66,4.37,0.06,33,240,0,0.3,2,0.9,0.4,1,both
186,-4.34,33.3,33,95.66,4.37,0.06,33,240,1,0.3,2,0.9,0.4,1,both
187,-4.34,33.3,33,95.66,4.37,0.06,33,60,0,0.3,2,0.9,0.4,1,both
188,-4.34,33.3,33,95.66,4.37,0.06,33,60,1,0.3,2,0.9,0.4,1,both
189,-4.34,33.3,33,95.66,4.37,0.06,33,15,0,0.3,2,0.9,0.4,1,both
190,-4.34,33.3,33,95.66,4.37,0.06,33,15,1,0.3,2,0.9,0.4,1,both
191,-4.34,33.3,33,95.66,4.37,0.06,33,5,0,0.3,2,0.9,0.4,1,both
192,-4.34,33.3,33,95.66,4.37,0.06,33,5,1,0.3,2,0.9,0.4,1,both
193,-4.45,21.4,14,95.55,5.61,-0.14,36,240,0,0.2,2,0.9,0.4,1,long
194,-4.45,21.4,14,95.55,5.61,-0.14,36,240,1,0.2,2,0.9,0.4,1,long
195,-4.45,21.4,14,95.55,5.61,-0.14,36,60,0,0.2,2,0.9,0.4,1,long
196,-4.45,21.4,14,95.55,5.61,-0.14,36,60,1,0.2,2,0.9,0.4,1,long
197,-4.45,21.4,14,95.55,5.61,-0.14,36,15,0,0.2,2,0.9,0.4,1,long
198,-4.45,21.4,14,95.55,5.61,-0.14,36,15,1,0.2,2,0.9,0.4,1,long
199,-4.45,21.4,14,95.55,5.61,-0.14,36,5,0,0.2,2,0.9,0.4,1,long
200,-4.45,21.4,14,95.55,5.61,-0.14,36,5,1,0.2,2,0.9,0.4,1,long
201,-4.46,25.0,16,95.54,5.11,-0.10,39,240,0,0.1,2,0.9,0.4,1,long
202,-4.46,25.0,16,95.54,5.11,-0.10,39,240,1,0.1,2,0.9,0.4,1,long
203,-4.46,25.0,16,95.54,5.11,-0.10,39,60,0,0.1,2,0.9,0.4,1,long
204,-4.46,25.0,16,95.54,5.11,-0.10,39,60,1,0.1,2,0.9,0.4,1,long
205,-4.46,25.0,16,95.54,5.11,-0.10,39,15,0,0.1,2,0.9,0.4,1,long
206,-4.46,25.0,16,95.54,5.11,-0.10,39,15,1,0.1,2,0.9,0.4,1,long
207,-4.46,25.0,16,95.54,5.11,-0.10,39,5,0,0.1,2,0.9,0.4,1,long
208,-4.46,25.0,16,95.54,5.11,-0.10,39,5,1,0.1,2,0.9,0.4,1,long
209,-4.52,30.8,26,95.48,4.67,0.02,26,240,0,0.2,3,0.9,0.4,1,both
210,-4.52,30.8,26,95.48,4.67,0.02,26,240,1,0.2,3,0.9,0.4,1,both
211,-4.52,30.8,26,95.48,4.67,0.02,26,60,0,0.2,3,0.9,0.4,1,both
212,-4.52,30.8,26,95.48,4.67,0.02,26,60,1,0.2,3,0.9,0.4,1,both
213,-4.52,30.8,26,95.48,4.67,0.02,26,15,0,0.2,3,0.9,0.4,1,both
214,-4.52,30.8,26,95.48,4.67,0.02,26,15,1,0.2,3,0.9,0.4,1,both
215,-4.52,30.8,26,95.48,4.67,0.02,26,5,0,0.2,3,0.9,0.4,1,both
216,-4.52,30.8,26,95.48,4.67,0.02,26,5,1,0.2,3,0.9,0.4,1,both
217,-4.54,25.0,16,95.46,5.69,-0.10,35,240,2,0.1,2,0.9,0.4,1,long
218,-4.54,25.0,16,95.46,5.69,-0.10,35,60,2,0.1,2,0.9,0.4,1,long
219,-4.54,25.0,16,95.46,5.69,-0.10,35,15,2,0.1,2,0.9,0.4,1,long
220,-4.54,25.0,16,95.46,5.69,-0.10,35,5,2,0.1,2,0.9,0.4,1,long
221,-4.60,36.1,36,95.40,4.75,0.06,65,240,0,0.2,1,0.9,0.4,1,short
222,-4.60,36.1,36,95.40,4.75,0.06,65,240,1,0.2,1,0.9,0.4,1,short
223,-4.60,36.1,36,95.40,4.75,0.06,65,60,0,0.2,1,0.9,0.4,1,short
224,-4.60,36.1,36,95.40,4.75,0.06,65,60,1,0.2,1,0.9,0.4,1,short
225,-4.60,36.1,36,95.40,4.75,0.06,65,15,0,0.2,1,0.9,0.4,1,short
226,-4.60,36.1,36,95.40,4.75,0.06,65,15,1,0.2,1,0.9,0.4,1,short
227,-4.60,36.1,36,95.40,4.75,0.06,65,5,0,0.2,1,0.9,0.4,1,short
228,-4.60,36.1,36,95.40,4.75,0.06,65,5,1,0.2,1,0.9,0.4,1,short
229,-4.71,30.8,26,95.29,6.61,0.01,27,240,0,0.1,3,0.9,0.4,1,both
230,-4.71,30.8,26,95.29,6.61,0.01,27,240,1,0.1,3,0.9,0.4,1,both
231,-4.71,30.8,26,95.29,6.61,0.01,27,60,0,0.1,3,0.9,0.4,1,both
232,-4.71,30.8,26,95.29,6.61,0.01,27,60,1,0.1,3,0.9,0.4,1,both
233,-4.71,30.8,26,95.29,6.61,0.01,27,15,0,0.1,3,0.9,0.4,1,both
234,-4.71,30.8,26,95.29,6.61,0.01,27,15,1,0.1,3,0.9,0.4,1,both
235,-4.71,30.8,26,95.29,6.61,0.01,27,5,0,0.1,3,0.9,0.4,1,both
236,-4.71,30.8,26,95.29,6.61,0.01,27,5,1,0.1,3,0.9,0.4,1,both
237,-4.73,28.6,21,95.27,4.73,-0.04,21,240,0,0.4,3,0.9,0.4,1,both
238,-4.73,28.6,21,95.27,4.73,-0.04,21,240,1,0.4,3,0.9,0.4,1,both
239,-4.73,28.6,21,95.27,4.73,-0.04,21,60,0,0.4,3,0.9,0.4,1,both
240,-4.73,28.6,21,95.27,4.73,-0.04,21,60,1,0.4,3,0.9,0.4,1,both
241,-4.73,28.6,21,95.27,4.73,-0.04,21,15,0,0.4,3,0.9,0.4,1,both
242,-4.73,28.6,21,95.27,4.73,-0.04,21,15,1,0.4,3,0.9,0.4,1,both
243,-4.73,28.6,21,95.27,4.73,-0.04,21,5,0,0.4,3,0.9,0.4,1,both
244,-4.73,28.6,21,95.27,4.73,-0.04,21,5,1,0.4,3,0.9,0.4,1,both
245,-4.77,34.4,32,95.23,6.41,0.04,57,240,2,0.1,1,0.9,0.4,1,short
246,-4.77,34.4,32,95.23,6.41,0.04,57,60,2,0.1,1,0.9,0.4,1,short
247,-4.77,34.4,32,95.23,6.41,0.04,57,15,2,0.1,1,0.9,0.4,1,short
248,-4.77,34.4,32,95.23,6.41,0.04,57,5,2,0.1,1,0.9,0.4,1,short
249,-4.79,34.4,32,95.21,5.46,0.04,58,240,0,0.3,1,0.9,0.4,1,short
250,-4.79,34.4,32,95.21,5.46,0.04,58,240,1,0.3,1,0.9,0.4,1,short
251,-4.79,34.4,32,95.21,5.46,0.04,58,60,0,0.3,1,0.9,0.4,1,short
252,-4.79,34.4,32,95.21,5.46,0.04,58,60,1,0.3,1,0.9,0.4,1,short
253,-4.79,34.4,32,95.21,5.46,0.04,58,15,0,0.3,1,0.9,0.4,1,short
254,-4.79,34.4,32,95.21,5.46,0.04,58,15,1,0.3,1,0.9,0.4,1,short
255,-4.79,34.4,32,95.21,5.46,0.04,58,5,0,0.3,1,0.9,0.4,1,short
256,-4.79,34.4,32,95.21,5.46,0.04,58,5,1,0.3,1,0.9,0.4,1,short
257,-4.93,0.0,8,95.07,4.93,-0.46,22,240,0,0.3,3,0.9,0.4,1,long
258,-4.93,0.0,8,95.07,4.93,-0.46,22,240,1,0.3,3,0.9,0.4,1,long
259,-4.93,0.0,8,95.07,4.93,-0.46,22,60,0,0.3,3,0.9,0.4,1,long
260,-4.93,0.0,8,95.07,4.93,-0.46,22,60,1,0.3,3,0.9,0.4,1,long
261,-4.93,0.0,8,95.07,4.93,-0.46,22,15,0,0.3,3,0.9,0.4,1,long
262,-4.93,0.0,8,95.07,4.93,-0.46,22,15,1,0.3,3,0.9,0.4,1,long
263,-4.93,0.0,8,95.07,4.93,-0.46,22,5,0,0.3,3,0.9,0.4,1,long
264,-4.93,0.0,8,95.07,4.93,-0.46,22,5,1,0.3,3,0.9,0.4,1,long
265,-5.07,23.5,17,94.93,5.07,-0.12,32,240,2,0.3,2,0.9,0.4,1,short
266,-5.07,23.5,17,94.93,5.07,-0.12,32,60,2,0.3,2,0.9,0.4,1,short
267,-5.07,23.5,17,94.93,5.07,-0.12,32,15,2,0.3,2,0.9,0.4,1,short
268,-5.07,23.5,17,94.93,5.07,-0.12,32,5,2,0.3,2,0.9,0.4,1,short
269,-5.14,23.5,17,94.86,6.28,-0.12,35,240,2,0.2,2,0.9,0.4,1,long
270,-5.14,23.5,17,94.86,6.28,-0.12,35,60,2,0.2,2,0.9,0.4,1,long
271,-5.14,23.5,17,94.86,6.28,-0.12,35,15,2,0.2,2,0.9,0.4,1,long
272,-5.14,23.5,17,94.86,6.28,-0.12,35,5,2,0.2,2,0.9,0.4,1,long
273,-5.15,29.2,24,94.85,5.15,-0.03,25,240,2,0.2,3,0.9,0.4,1,both
274,-5.15,29.2,24,94.85,5.15,-0.03,25,60,2,0.2,3,0.9,0.4,1,both
